海克斯遗物 Flavor 清单

来源：assets/localization/zhs/relics.json
排序：hextech_relics_summary.txt 当前顺序
- 不动如山：山不追逐胜利；胜利自己撞上山。
- 米凯尔的祝福：真正的祝福，会把苦味连根洗掉。
- 小丑学院：课程表上写满了笑声，作业全是陷阱。
- 奇点AI：它不预测未来；它把未来递到你手里。
- 蛋白粉奶昔：喝下去的是粉，站起来的是墙。
- 金铲铲：它不只挖出机会，也顺手把机会锻亮。

属性锻造器：

白银：
- 力量锻造器：一枚钉子，钉住出拳的重量。
- 敏捷锻造器：把迟疑锻薄，动作自然就快了。
- 覆甲锻造器：薄甲先行，替胆怯挡住第一声响。
- 升级锻造器：一锤足够让旧招式想起新用途。
- 集中锻造器：嘈杂熔掉之后，核心只剩一个方向。
- 生命锻造器：把伤疤扩成容量。
- 预备锻造器：真正的准备，是在开战前多握一张答案。
- 亡灵锻造器：炉火里传出的不是锤声，而是脚步声。
- 星辉锻造器：先把开局的光握稳，王权才不会迟到。
- 球球锻造器：炉心转了一圈，吐出一个不太听话的答案。

黄金：
- 体质锻造器：筋骨与步伐在同一炉火里成形。
- 灾祸锻造器：第一声锤响，先替敌人敲出裂痕。
- 生命锻造器：伤疤被扩成更宽的河床。
- 集中锻造器：两道杂音被同一锤声压平。
- 抽牌锻造器：给命运再开一道抽屉。
- 升级锻造器：三声锤响之后，牌组里多了几处锋芒。
- 星辉锻造器：把王权锻成能被握住的光。
- 鸡煲锻造器：多开的槽位，总会等来雷光。
- 覆甲锻造器：把谨慎锻成一层不会退后的甲。
- 荆棘锻造器：每一根倒刺都记着来路。
- 人工锻造器：一层看不见的保险，被敲进灵魂外壳。

棱彩：
- 生命锻造器：炉火不再扩容，而是重写容器本身。
- 攻击锻造器：锋刃不是更长，只是更懂得落点。
- 防护锻造器：炉火替伤口和盾牌都留了余量。
- 能量锻造器：炉火不熄，下一步就不会空转。
- 仪式锻造器：火光围成圆，力量就知道该往哪走。
- 再生锻造器：肉身会忘记疼痛的形状。
- 缓冲锻造器：命运先撞到它，再轮到你。
- 滑溜锻造器：让危险握不住你。
- 人工锻造器：两层保险，把最坏的意外挡在门外。
- 幽灵锻造器：身体被锻得很轻，轻到能在最危险的瞬间抽身。
- 财运锻造器：炉灰里落下的，全是亮闪闪的答案。

商店：
- 随机属性锻造器：炉口一直开着，只等下一枚金币落下。

总计：玩家海克斯 152 个；敌方海克斯 52 个；属性锻造器 32 个；商店锻造器 1 个。
